{'Time': 30.32800000000045, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2578, 'Block_id': 920, 'Create_time': 30.32700000000045, 'Deadline': 0.2, 'Offset': 1, 'Payload': 587, 'Packet_size': 1500}
{'Time': 30.328035342959573, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2577, 'Block_id': 920, 'Create_time': 30.32700000000045, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.329000000000452, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2578, 'Block_id': 920, 'Create_time': 30.32700000000045, 'Deadline': 0.2, 'Offset': 1, 'Payload': 587, 'Packet_size': 1500}
{'Time': 30.329035342959575, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2577, 'Block_id': 920, 'Create_time': 30.32700000000045, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.359999999999733, 'Cwnd': 12, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2579, 'Block_id': 1821, 'Create_time': 30.359999999999733, 'Deadline': 0.2, 'Offset': 0, 'Payload': 330, 'Packet_size': 1500}
{'Time': 30.360000000000447, 'Cwnd': 12, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2581, 'Block_id': 921, 'Create_time': 30.360000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.360000000000447, 'Cwnd': 12, 'Waiting_for_ack_nums': 2, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2582, 'Block_id': 921, 'Create_time': 30.360000000000447, 'Deadline': 0.2, 'Offset': 2, 'Payload': 73, 'Packet_size': 1500}
{'Time': 30.360000000000447, 'Cwnd': 12, 'Waiting_for_ack_nums': 3, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2580, 'Block_id': 921, 'Create_time': 30.360000000000447, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.360999999999734, 'Cwnd': 12, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2579, 'Block_id': 1821, 'Create_time': 30.359999999999733, 'Deadline': 0.2, 'Offset': 0, 'Payload': 330, 'Packet_size': 1500}
{'Time': 30.361035342958857, 'Cwnd': 12, 'Waiting_for_ack_nums': 4, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001035342958409607, 'Drop': 0, 'Packet_id': 2581, 'Block_id': 921, 'Create_time': 30.360000000000447, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
